BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
Time         sumz         <∆z^2>
        0.10805    1.05351E+00    1.33355E-03
        0.21610    4.12074E+00    5.28300E-03
        0.32415    9.03226E+00    1.17302E-02
        0.43220    1.55556E+01    2.04679E-02
        0.54024    2.34073E+01    3.12097E-02
        0.64829    3.22520E+01    4.35838E-02
        0.75634    4.17197E+01    5.71503E-02
        0.86439    5.14185E+01    7.14146E-02
        0.97244    6.09584E+01    8.58569E-02
        1.08049    6.99249E+01    9.98928E-02
        1.18854    7.79615E+01    1.12988E-01
        1.29659    8.47325E+01    1.24607E-01
        1.40464    8.99778E+01    1.34295E-01
        1.51269    9.35535E+01    1.41748E-01
        1.62073    9.53578E+01    1.46704E-01
        1.72878    9.53523E+01    1.48988E-01
        1.83683    9.36967E+01    1.48725E-01
        1.94488    9.07567E+01    1.46382E-01
        2.05293    8.69051E+01    1.42467E-01
        2.16098    8.23498E+01    1.37250E-01
        2.26903    7.71666E+01    1.30791E-01
        2.37708    7.16468E+01    1.23529E-01
        2.48513    6.59839E+01    1.15761E-01
        2.59318    6.02325E+01    1.07558E-01
        2.70122    5.45003E+01    9.90914E-02
        2.80927    4.89080E+01    9.05704E-02
        2.91732    4.35862E+01    8.22381E-02
        3.02537    3.86224E+01    7.42739E-02
        3.13342    3.41407E+01    6.69425E-02
        3.24147    3.01976E+01    6.03953E-02
        3.34952    2.68548E+01    5.48056E-02
        3.45757    2.41650E+01    5.03437E-02
        3.56562    2.21228E+01    4.70698E-02
        3.67367    2.07260E+01    4.50564E-02
        3.78171    1.99322E+01    4.42937E-02
        3.88976    1.96845E+01    4.47374E-02
        3.99781    1.99278E+01    4.63436E-02
        4.10586    2.05982E+01    4.90433E-02
        4.21391    2.16243E+01    5.27422E-02
        4.32196    2.29347E+01    5.73368E-02
        4.43001    2.44334E+01    6.26497E-02
        4.53806    2.60563E+01    6.85693E-02
        4.64611    2.77372E+01    7.49655E-02
        4.75416    2.93994E+01    8.16651E-02
        4.86220    3.09494E+01    8.84268E-02
        4.97025    3.23351E+01    9.51033E-02
        5.07830    3.34903E+01    1.01486E-01
        5.18635    3.43587E+01    1.07371E-01
        5.29440    3.49436E+01    1.12721E-01
        5.40245    3.52862E+01    1.17621E-01
        5.51050    3.53900E+01    1.22034E-01
        5.61855    3.53076E+01    1.26099E-01
        5.72660    3.50356E+01    1.29762E-01
        5.83465    3.45976E+01    1.33068E-01
        5.94269    3.39479E+01    1.35791E-01
        6.05074    3.30569E+01    1.37737E-01
        6.15879    3.18893E+01    1.38649E-01
        6.26684    3.04252E+01    1.38296E-01
        6.37489    2.86772E+01    1.36558E-01
        6.48294    2.67072E+01    1.33536E-01
