BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
#  Time        Position ∆            Position X            Angle Θ
 
 
#    1
    0.10805,        2.0000E+00,
    0.21610,        2.0005E+00,
    0.32415,        1.9898E+00,
    0.43220,        1.9657E+00,
    0.54024,        1.9322E+00,
    0.64829,        1.8891E+00,
    0.75634,        1.8323E+00,
    0.86439,        1.7742E+00,
    0.97244,        1.7112E+00,
    1.08049,        1.6439E+00,
    1.18854,        1.5686E+00,
    1.29659,        1.4937E+00,
    1.40464,        1.4144E+00,
    1.51269,        1.3318E+00,
    1.62073,        1.2623E+00,
    1.72878,        1.1989E+00,
    1.83683,        1.1721E+00,
    1.94488,        1.1805E+00,
    2.05293,        1.1955E+00,
    2.16098,        1.2211E+00,
    2.26903,        1.2341E+00,
    2.37708,        1.2528E+00,
    2.48513,        1.2803E+00,
    2.59318,        1.3103E+00,
    2.70122,        1.3545E+00,
    2.80927,        1.3997E+00,
    2.91732,        1.4523E+00,
    3.02537,        1.5002E+00,
    3.13342,        1.5462E+00,
    3.24147,        1.5962E+00,
    3.34952,        1.6461E+00,
    3.45757,        1.6954E+00,
    3.56562,        1.7285E+00,
    3.67367,        1.7570E+00,
    3.78171,        1.7746E+00,
    3.88976,        1.7794E+00,
    3.99781,        1.7747E+00,
    4.10586,        1.7615E+00,
    4.21391,        1.7490E+00,
    4.32196,        1.7361E+00,
    4.43001,        1.7186E+00,
    4.53806,        1.6971E+00,
    4.64611,        1.6686E+00,
    4.75416,        1.6326E+00,
    4.86220,        1.5939E+00,
    4.97025,        1.5485E+00,
    5.07830,        1.5062E+00,
    5.18635,        1.4746E+00,
    5.29440,        1.4551E+00,
    5.40245,        1.4428E+00,
    5.51050,        1.4282E+00,
    5.61855,        1.4365E+00,
    5.72660,        1.4405E+00,
    5.83465,        1.4548E+00,
    5.94269,        1.4721E+00,
    6.05074,        1.4802E+00,
    6.15879,        1.4825E+00,
    6.26684,        1.4948E+00,
    6.37489,        1.5017E+00,
    6.48294,        1.5142E+00,
    6.59099,        1.5361E+00,
    6.69904,        1.5527E+00,
    6.80709,        1.5609E+00,
    6.91514,        1.5519E+00,
    7.02318,        1.5374E+00,
    7.13123,        1.5141E+00,
    7.23928,        1.4918E+00,
    7.34733,        1.4733E+00,
    7.45538,        1.4516E+00,
    7.56343,        1.4296E+00,
    7.67148,        1.4029E+00,
    7.77953,        1.3723E+00,
    7.88758,        1.3521E+00,
    7.99562,        1.3381E+00,
    8.10367,        1.3279E+00,
    8.21172,        1.3251E+00,
    8.31977,        1.3255E+00,
    8.42782,        1.3276E+00,
    8.53587,        1.3286E+00,
 
 
#    2
    0.10805,        2.0000E+00,
    0.21610,        1.9866E+00,
    0.32415,        1.9576E+00,
    0.43220,        1.9166E+00,
    0.54024,        1.8540E+00,
    0.64829,        1.7849E+00,
    0.75634,        1.7063E+00,
    0.86439,        1.6199E+00,
    0.97244,        1.5380E+00,
    1.08049,        1.4521E+00,
    1.18854,        1.3741E+00,
    1.29659,        1.3022E+00,
    1.40464,        1.2427E+00,
    1.51269,        1.1936E+00,
    1.62073,        1.1450E+00,
    1.72878,        1.1079E+00,
    1.83683,        1.0716E+00,
    1.94488,        1.0625E+00,
    2.05293,        1.0861E+00,
    2.16098,        1.1259E+00,
    2.26903,        1.1914E+00,
    2.37708,        1.2489E+00,
    2.48513,        1.3093E+00,
    2.59318,        1.3493E+00,
    2.70122,        1.4026E+00,
    2.80927,        1.4597E+00,
    2.91732,        1.5195E+00,
    3.02537,        1.5743E+00,
    3.13342,        1.6272E+00,
    3.24147,        1.6615E+00,
    3.34952,        1.6946E+00,
    3.45757,        1.7237E+00,
    3.56562,        1.7475E+00,
    3.67367,        1.7631E+00,
    3.78171,        1.7751E+00,
    3.88976,        1.7854E+00,
    3.99781,        1.7885E+00,
    4.10586,        1.7846E+00,
    4.21391,        1.7623E+00,
    4.32196,        1.7332E+00,
    4.43001,        1.6980E+00,
    4.53806,        1.6595E+00,
    4.64611,        1.6228E+00,
    4.75416,        1.5848E+00,
    4.86220,        1.5332E+00,
    4.97025,        1.4878E+00,
    5.07830,        1.4360E+00,
    5.18635,        1.3809E+00,
    5.29440,        1.3196E+00,
    5.40245,        1.2701E+00,
    5.51050,        1.2395E+00,
    5.61855,        1.2288E+00,
    5.72660,        1.2315E+00,
    5.83465,        1.2609E+00,
    5.94269,        1.2796E+00,
    6.05074,        1.3088E+00,
    6.15879,        1.3495E+00,
    6.26684,        1.3763E+00,
    6.37489,        1.3789E+00,
    6.48294,        1.3838E+00,
    6.59099,        1.3981E+00,
    6.69904,        1.4255E+00,
    6.80709,        1.4570E+00,
    6.91514,        1.4991E+00,
    7.02318,        1.5329E+00,
    7.13123,        1.5600E+00,
    7.23928,        1.5715E+00,
    7.34733,        1.5722E+00,
    7.45538,        1.5766E+00,
    7.56343,        1.5755E+00,
    7.67148,        1.5766E+00,
    7.77953,        1.5768E+00,
    7.88758,        1.5668E+00,
    7.99562,        1.5597E+00,
    8.10367,        1.5508E+00,
    8.21172,        1.5436E+00,
    8.31977,        1.5359E+00,
    8.42782,        1.5334E+00,
    8.53587,        1.5281E+00,
 
 
#    3
    0.10805,        2.0000E+00,
    0.21610,        1.9844E+00,
    0.32415,        1.9649E+00,
    0.43220,        1.9365E+00,
    0.54024,        1.8873E+00,
    0.64829,        1.8247E+00,
    0.75634,        1.7587E+00,
    0.86439,        1.6853E+00,
    0.97244,        1.6080E+00,
    1.08049,        1.5283E+00,
    1.18854,        1.4489E+00,
    1.29659,        1.3686E+00,
    1.40464,        1.2953E+00,
    1.51269,        1.2287E+00,
    1.62073,        1.1824E+00,
    1.72878,        1.1566E+00,
    1.83683,        1.1430E+00,
    1.94488,        1.1565E+00,
    2.05293,        1.1795E+00,
    2.16098,        1.2318E+00,
    2.26903,        1.2725E+00,
    2.37708,        1.3152E+00,
    2.48513,        1.3418E+00,
    2.59318,        1.3753E+00,
    2.70122,        1.4115E+00,
    2.80927,        1.4528E+00,
    2.91732,        1.4908E+00,
    3.02537,        1.5220E+00,
    3.13342,        1.5698E+00,
    3.24147,        1.6141E+00,
    3.34952,        1.6662E+00,
    3.45757,        1.7129E+00,
    3.56562,        1.7552E+00,
    3.67367,        1.7847E+00,
    3.78171,        1.8033E+00,
    3.88976,        1.8226E+00,
    3.99781,        1.8203E+00,
    4.10586,        1.8197E+00,
    4.21391,        1.8078E+00,
    4.32196,        1.7886E+00,
    4.43001,        1.7615E+00,
    4.53806,        1.7251E+00,
    4.64611,        1.6928E+00,
    4.75416,        1.6413E+00,
    4.86220,        1.5995E+00,
    4.97025,        1.5626E+00,
    5.07830,        1.5219E+00,
    5.18635,        1.4761E+00,
    5.29440,        1.4389E+00,
    5.40245,        1.4047E+00,
    5.51050,        1.3924E+00,
    5.61855,        1.3849E+00,
    5.72660,        1.3909E+00,
    5.83465,        1.3895E+00,
    5.94269,        1.3861E+00,
    6.05074,        1.3879E+00,
    6.15879,        1.3842E+00,
    6.26684,        1.3916E+00,
    6.37489,        1.4082E+00,
    6.48294,        1.4314E+00,
    6.59099,        1.4576E+00,
    6.69904,        1.4769E+00,
    6.80709,        1.4929E+00,
    6.91514,        1.5084E+00,
    7.02318,        1.5311E+00,
    7.13123,        1.5463E+00,
    7.23928,        1.5636E+00,
    7.34733,        1.5696E+00,
    7.45538,        1.5762E+00,
    7.56343,        1.5810E+00,
    7.67148,        1.5917E+00,
    7.77953,        1.6053E+00,
    7.88758,        1.6156E+00,
    7.99562,        1.6230E+00,
    8.10367,        1.6273E+00,
    8.21172,        1.6240E+00,
    8.31977,        1.6266E+00,
    8.42782,        1.6234E+00,
    8.53587,        1.6324E+00,
 
 
#    4
    0.10805,        2.0000E+00,
    0.21610,        1.9857E+00,
    0.32415,        1.9581E+00,
    0.43220,        1.9178E+00,
    0.54024,        1.8750E+00,
    0.64829,        1.8255E+00,
    0.75634,        1.7660E+00,
    0.86439,        1.7054E+00,
    0.97244,        1.6488E+00,
    1.08049,        1.5828E+00,
    1.18854,        1.5082E+00,
    1.29659,        1.4392E+00,
    1.40464,        1.3702E+00,
    1.51269,        1.3037E+00,
    1.62073,        1.2499E+00,
    1.72878,        1.2060E+00,
    1.83683,        1.1602E+00,
    1.94488,        1.1251E+00,
    2.05293,        1.1084E+00,
    2.16098,        1.0950E+00,
    2.26903,        1.1001E+00,
    2.37708,        1.1424E+00,
    2.48513,        1.2027E+00,
    2.59318,        1.2520E+00,
    2.70122,        1.2990E+00,
    2.80927,        1.3469E+00,
    2.91732,        1.4099E+00,
    3.02537,        1.4771E+00,
    3.13342,        1.5374E+00,
    3.24147,        1.5781E+00,
    3.34952,        1.5999E+00,
    3.45757,        1.6152E+00,
    3.56562,        1.6252E+00,
    3.67367,        1.6291E+00,
    3.78171,        1.6409E+00,
    3.88976,        1.6441E+00,
    3.99781,        1.6576E+00,
    4.10586,        1.6804E+00,
    4.21391,        1.6977E+00,
    4.32196,        1.7073E+00,
    4.43001,        1.7034E+00,
    4.53806,        1.7012E+00,
    4.64611,        1.7004E+00,
    4.75416,        1.7029E+00,
    4.86220,        1.7027E+00,
    4.97025,        1.6936E+00,
    5.07830,        1.6789E+00,
    5.18635,        1.6612E+00,
    5.29440,        1.6548E+00,
    5.40245,        1.6475E+00,
    5.51050,        1.6410E+00,
    5.61855,        1.6350E+00,
    5.72660,        1.6303E+00,
    5.83465,        1.6268E+00,
    5.94269,        1.6274E+00,
    6.05074,        1.6309E+00,
    6.15879,        1.6289E+00,
    6.26684,        1.6240E+00,
    6.37489,        1.6175E+00,
    6.48294,        1.5975E+00,
    6.59099,        1.5864E+00,
    6.69904,        1.5648E+00,
    6.80709,        1.5419E+00,
    6.91514,        1.5194E+00,
    7.02318,        1.4971E+00,
    7.13123,        1.4793E+00,
    7.23928,        1.4639E+00,
    7.34733,        1.4364E+00,
    7.45538,        1.4027E+00,
    7.56343,        1.3761E+00,
    7.67148,        1.3514E+00,
    7.77953,        1.3370E+00,
    7.88758,        1.3300E+00,
    7.99562,        1.3295E+00,
    8.10367,        1.3348E+00,
    8.21172,        1.3356E+00,
    8.31977,        1.3410E+00,
    8.42782,        1.3590E+00,
    8.53587,        1.3913E+00,
 
 
#    5
    0.10805,        2.0000E+00,
    0.21610,        1.9847E+00,
    0.32415,        1.9588E+00,
    0.43220,        1.9109E+00,
    0.54024,        1.8561E+00,
    0.64829,        1.7918E+00,
    0.75634,        1.7212E+00,
    0.86439,        1.6481E+00,
    0.97244,        1.5701E+00,
    1.08049,        1.4950E+00,
    1.18854,        1.4211E+00,
    1.29659,        1.3506E+00,
    1.40464,        1.2945E+00,
    1.51269,        1.2572E+00,
    1.62073,        1.2184E+00,
    1.72878,        1.1698E+00,
    1.83683,        1.1490E+00,
    1.94488,        1.1373E+00,
    2.05293,        1.1418E+00,
    2.16098,        1.1597E+00,
    2.26903,        1.1829E+00,
    2.37708,        1.2158E+00,
    2.48513,        1.2403E+00,
    2.59318,        1.2629E+00,
    2.70122,        1.2839E+00,
    2.80927,        1.3009E+00,
    2.91732,        1.3217E+00,
    3.02537,        1.3469E+00,
    3.13342,        1.3953E+00,
    3.24147,        1.4342E+00,
    3.34952,        1.4646E+00,
    3.45757,        1.5017E+00,
    3.56562,        1.5424E+00,
    3.67367,        1.5831E+00,
    3.78171,        1.6242E+00,
    3.88976,        1.6511E+00,
    3.99781,        1.6737E+00,
    4.10586,        1.6872E+00,
    4.21391,        1.6838E+00,
    4.32196,        1.6826E+00,
    4.43001,        1.6760E+00,
    4.53806,        1.6616E+00,
    4.64611,        1.6558E+00,
    4.75416,        1.6335E+00,
    4.86220,        1.6069E+00,
    4.97025,        1.5771E+00,
    5.07830,        1.5459E+00,
    5.18635,        1.5176E+00,
    5.29440,        1.4819E+00,
    5.40245,        1.4628E+00,
    5.51050,        1.4449E+00,
    5.61855,        1.4316E+00,
    5.72660,        1.4251E+00,
    5.83465,        1.4157E+00,
    5.94269,        1.4043E+00,
    6.05074,        1.3925E+00,
    6.15879,        1.3693E+00,
    6.26684,        1.3557E+00,
    6.37489,        1.3516E+00,
    6.48294,        1.3528E+00,
    6.59099,        1.3630E+00,
    6.69904,        1.3723E+00,
    6.80709,        1.3758E+00,
    6.91514,        1.3760E+00,
    7.02318,        1.3872E+00,
    7.13123,        1.3938E+00,
    7.23928,        1.3926E+00,
    7.34733,        1.4011E+00,
    7.45538,        1.4028E+00,
    7.56343,        1.3943E+00,
    7.67148,        1.3943E+00,
    7.77953,        1.3935E+00,
    7.88758,        1.3923E+00,
    7.99562,        1.3813E+00,
    8.10367,        1.3818E+00,
    8.21172,        1.3960E+00,
    8.31977,        1.4149E+00,
    8.42782,        1.4262E+00,
    8.53587,        1.4367E+00,
