BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.400 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2329-314     6.1059E-03
    0.21610     1.9882E+00     3.5671E-01    -1.0926E-01    -9.7639E-01     0.0000E+00     2.2329-314     8.5994E-02
    0.32415     1.9746E+00     3.6040E-01    -1.2587E-01    -9.4919E-01     0.0000E+00     2.2329-314    -4.4264E-03
    0.43220     1.9491E+00     3.6749E-01    -2.3582E-01    -8.9823E-01     0.0000E+00     2.2329-314    -9.1908E-02
    0.54024     1.9026E+00     3.8104E-01    -4.3023E-01    -8.0526E-01     0.0000E+00     2.2329-314     2.1799E-02
    0.64829     1.8503E+00     3.9732E-01    -4.8442E-01    -7.0057E-01     0.0000E+00     2.2329-314     1.3445E-02
    0.75634     1.7926E+00     4.1664E-01    -5.3360E-01    -5.8527E-01     0.0000E+00     2.2329-314     3.1278E-02
    0.86439     1.7335E+00     4.3816E-01    -5.4770E-01    -4.6691E-01     0.0000E+00     2.2329-314    -1.4751E-03
    0.97244     1.6704E+00     4.6320E-01    -5.8348E-01    -3.4082E-01     0.0000E+00     2.2329-314     3.7260E-02
    1.08049     1.6101E+00     4.8948E-01    -5.5859E-01    -2.2011E-01     0.0000E+00     2.2329-314    -2.3637E-02
    1.18854     1.5464E+00     5.2003E-01    -5.8933E-01    -9.2756E-02     0.0000E+00     2.2329-314    -3.8925E-02
    1.29659     1.4792E+00     5.5586E-01    -6.2180E-01     4.1613E-02     0.0000E+00     2.2329-314    -7.4696E-03
    1.40464     1.4145E+00     5.9440E-01    -5.9835E-01     1.7091E-01     0.0000E+00     2.2329-314    -5.3891E-02
    1.51269     1.3479E+00     6.3903E-01    -6.1696E-01     3.0424E-01     0.0000E+00     2.2329-314    -1.6664E-02
    1.62073     1.2865E+00     6.8534E-01    -5.6842E-01     4.2707E-01     0.0000E+00     2.2329-314    -3.2273E-02
    1.72878     1.2300E+00     7.3306E-01    -5.2250E-01     5.3998E-01     0.0000E+00     2.2329-314     9.5282E-02
    1.83683     1.2023E+00     7.5850E-01    -2.5598E-01     5.9530E-01     0.0000E+00     2.2329-314    -6.6416E-02
    1.94488     1.1767E+00     7.8343E-01    -2.3733E-01     6.4659E-01     0.0000E+00     2.2329-314    -9.6244E-03
    2.05293     1.1647E+00     7.9552E-01    -1.1066E-01     6.7050E-01     0.0000E+00     2.2329-314    -7.7233E-02
    2.16098     1.1532E+00     8.0753E-01    -1.0716E-01     6.9366E-01     0.0000E+00     2.2329-314    -8.4844E-02
    2.26903     1.1409E+00     8.2057E-01    -1.1337E-01     7.1816E-01     0.0000E+00     2.2329-314    -2.3458E-02
    2.37708     1.1412E+00     8.2030E-01     2.3180E-03     7.1765E-01     0.0000E+00     2.2329-314    -1.0427E-01
