BEHD @ YYE. Sim. done on 2023-10-28   12h45
### Sim. w/ κ =    0.500 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =      10
  Time        mass            Force z            Noise z            Noise x            Noise Θ
    0.10805        3.298672E-09       -1.000000E+00       -3.514774E-02        0.000000E+00       -0.000000E+00
    0.21610        3.298672E-09       -9.662381E-01       -3.753561E-03        0.000000E+00       -0.000000E+00
    0.32415        3.298672E-09       -9.082536E-01       -1.485277E-02        0.000000E+00       -0.000000E+00
    0.43220        3.298672E-09       -8.256993E-01       -1.466490E-02        0.000000E+00       -0.000000E+00
    0.54024        3.298672E-09       -7.214605E-01        8.162963E-03       -0.000000E+00       -0.000000E+00
    0.64829        3.298672E-09       -6.042988E-01       -3.319628E-02       -0.000000E+00       -0.000000E+00
    0.75634        3.298672E-09       -4.674296E-01       -1.269562E-02        0.000000E+00       -0.000000E+00
    0.86439        3.298672E-09       -3.198048E-01       -4.567032E-02       -0.000000E+00        0.000000E+00
    0.97244        3.298672E-09       -1.568963E-01        7.589641E-02        0.000000E+00        0.000000E+00
    1.08049        3.298672E-09       -1.507062E-02        7.944722E-03       -0.000000E+00       -0.000000E+00
    1.18854        3.298672E-09        1.198092E-01       -7.076276E-02       -0.000000E+00       -0.000000E+00
    1.29659        3.298672E-09        2.665995E-01        2.514993E-02        0.000000E+00       -0.000000E+00
    1.40464        3.298672E-09        3.922391E-01       -4.918074E-02        0.000000E+00       -0.000000E+00
    1.51269        3.298672E-09        5.160141E-01       -3.838989E-02       -0.000000E+00        0.000000E+00
    1.62073        3.298672E-09        6.298824E-01       -1.031889E-02        0.000000E+00       -0.000000E+00
    1.72878        3.298672E-09        7.153736E-01       -3.515001E-02        0.000000E+00       -0.000000E+00
    1.83683        3.298672E-09        7.744856E-01        1.501337E-01       -0.000000E+00       -0.000000E+00
    1.94488        3.298672E-09        6.859296E-01       -4.421147E-03        0.000000E+00       -0.000000E+00
    2.05293        3.298672E-09        5.938345E-01       -3.559293E-02       -0.000000E+00        0.000000E+00
    2.16098        3.298672E-09        5.146252E-01        6.972473E-02        0.000000E+00       -0.000000E+00
    2.26903        3.298672E-09        4.042041E-01        7.275656E-02        0.000000E+00        0.000000E+00
    2.37708        3.298672E-09        2.746394E-01       -7.634410E-02        0.000000E+00        0.000000E+00
    2.48513        3.298672E-09        1.809792E-01       -6.260716E-02        0.000000E+00        0.000000E+00
    2.59318        3.298672E-09        1.122902E-01       -1.496743E-02        0.000000E+00       -0.000000E+00
    2.70122        3.298672E-09        5.194626E-02        1.326565E-02       -0.000000E+00       -0.000000E+00
    2.80927        3.298672E-09       -7.749791E-03        5.877733E-02       -0.000000E+00        0.000000E+00
    2.91732        3.298672E-09       -7.801487E-02        9.179703E-03        0.000000E+00        0.000000E+00
    3.02537        3.298672E-09       -1.421998E-01        8.105073E-03        0.000000E+00        0.000000E+00
    3.13342        3.298672E-09       -1.991185E-01       -1.696370E-02        0.000000E+00        0.000000E+00
    3.24147        3.298672E-09       -2.414697E-01       -7.237971E-02        0.000000E+00       -0.000000E+00
    3.34952        3.298672E-09       -2.550172E-01       -6.760363E-03       -0.000000E+00        0.000000E+00
    3.45757        3.298672E-09       -2.586769E-01        5.415513E-02        0.000000E+00        0.000000E+00
    3.56562        3.298672E-09       -2.688602E-01       -1.720505E-02        0.000000E+00       -0.000000E+00
    3.67367        3.298672E-09       -2.663147E-01        9.693932E-04        0.000000E+00       -0.000000E+00
    3.78171        3.298672E-09       -2.566358E-01        1.958323E-02        0.000000E+00        0.000000E+00
    3.88976        3.298672E-09       -2.453594E-01        7.038759E-02        0.000000E+00        0.000000E+00
    3.99781        3.298672E-09       -2.461593E-01       -8.426838E-02        0.000000E+00       -0.000000E+00
    4.10586        3.298672E-09       -2.179030E-01       -5.016634E-03       -0.000000E+00       -0.000000E+00
    4.21391        3.298672E-09       -1.837409E-01       -2.139186E-02        0.000000E+00       -0.000000E+00
    4.32196        3.298672E-09       -1.405986E-01       -3.255317E-02        0.000000E+00       -0.000000E+00
    4.43001        3.298672E-09       -8.712417E-02        1.812925E-02        0.000000E+00        0.000000E+00
    4.53806        3.298672E-09       -3.904863E-02       -2.708177E-02       -0.000000E+00        0.000000E+00
    4.64611        3.298672E-09        1.481314E-02        2.988065E-02       -0.000000E+00       -0.000000E+00
    4.75416        3.298672E-09        5.661249E-02       -2.404024E-03       -0.000000E+00       -0.000000E+00
    4.86220        3.298672E-09        9.467069E-02       -1.334446E-02       -0.000000E+00       -0.000000E+00
    4.97025        3.298672E-09        1.310953E-01       -7.925695E-02       -0.000000E+00        0.000000E+00
    5.07830        3.298672E-09        1.841622E-01       -8.752392E-03        0.000000E+00       -0.000000E+00
    5.18635        3.298672E-09        2.303582E-01        1.359851E-02        0.000000E+00       -0.000000E+00
    5.29440        3.298672E-09        2.614147E-01        4.483787E-02        0.000000E+00       -0.000000E+00
    5.40245        3.298672E-09        2.671275E-01       -1.516966E-02       -0.000000E+00        0.000000E+00
    5.51050        3.298672E-09        2.681898E-01       -9.639305E-02        0.000000E+00       -0.000000E+00
    5.61855        3.298672E-09        2.906227E-01       -5.174184E-02        0.000000E+00        0.000000E+00
    5.72660        3.298672E-09        3.177614E-01        5.864655E-02        0.000000E+00       -0.000000E+00
    5.83465        3.298672E-09        3.124516E-01        6.337839E-02       -0.000000E+00        0.000000E+00
    5.94269        3.298672E-09        2.764672E-01        7.731901E-02       -0.000000E+00        0.000000E+00
    6.05074        3.298672E-09        2.109403E-01        1.247770E-01        0.000000E+00       -0.000000E+00
    6.15879        3.298672E-09        1.083713E-01        8.925476E-04        0.000000E+00       -0.000000E+00
    6.26684        3.298672E-09        1.440649E-02        9.062440E-02       -0.000000E+00        0.000000E+00
    6.37489        3.298672E-09       -9.561872E-02       -9.492619E-02       -0.000000E+00        0.000000E+00
    6.48294        3.298672E-09       -1.664656E-01        3.620256E-03        0.000000E+00       -0.000000E+00
    6.59099        3.298672E-09       -2.276553E-01        7.756828E-02        0.000000E+00        0.000000E+00
    6.69904        3.298672E-09       -2.980564E-01       -9.386977E-02       -0.000000E+00       -0.000000E+00
    6.80709        3.298672E-09       -3.307443E-01       -6.607902E-02        0.000000E+00       -0.000000E+00
