BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    7.43860E+01    3.73799E-04
        0.21610    2.77278E+02    1.40039E-03
        0.32415    5.90161E+02    2.99574E-03
        0.43220    9.91009E+02    5.05617E-03
        0.54024    1.45426E+03    7.45775E-03
        0.64829    1.95137E+03    1.00586E-02
        0.75634    2.45174E+03    1.27033E-02
        0.86439    2.92393E+03    1.52288E-02
        0.97244    3.33705E+03    1.74715E-02
        1.08049    3.66228E+03    1.92751E-02
