BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        Position ∆        γ_z        Veloctiy ∆        Fz total        electro î        spurious        Noise z
 
 
    0.10805     2.0000E+00     3.5355E-01     0.0000E+00    -1.0000E+00     0.0000E+00     2.2186-314    -7.4525E-04
    0.21610     1.9862E+00     3.5725E-01    -1.2787E-01    -9.7237E-01     0.0000E+00     2.2186-314     2.8894E-03
    0.32415     1.9599E+00     3.6445E-01    -2.4310E-01    -9.1983E-01     0.0000E+00     2.2186-314     8.1392E-04
    0.43220     1.9220E+00     3.7529E-01    -3.5081E-01    -8.4403E-01     0.0000E+00     2.2186-314     1.6977E-03
    0.54024     1.8739E+00     3.8985E-01    -4.4566E-01    -7.4772E-01     0.0000E+00     2.2186-314     1.1867E-03
    0.64829     1.8168E+00     4.0835E-01    -5.2792E-01    -6.3364E-01     0.0000E+00     2.2186-314     3.2406E-04
    0.75634     1.7523E+00     4.3110E-01    -5.9684E-01    -5.0466E-01     0.0000E+00     2.2186-314     3.2442E-03
    0.86439     1.6825E+00     4.5823E-01    -6.4672E-01    -3.6491E-01     0.0000E+00     2.2186-314    -6.8183E-03
    0.97244     1.6074E+00     4.9069E-01    -6.9456E-01    -2.1481E-01     0.0000E+00     2.2186-314     1.2833E-03
    1.08049     1.5301E+00     5.2835E-01    -7.1547E-01    -6.0202E-02     0.0000E+00     2.2186-314     1.0232E-03
    1.18854     1.4522E+00     5.7140E-01    -7.2062E-01     9.5523E-02     0.0000E+00     2.2186-314     2.7878E-03
    1.29659     1.3760E+00     6.1955E-01    -7.0565E-01     2.4801E-01     0.0000E+00     2.2186-314     9.9647E-04
    1.40464     1.3033E+00     6.7213E-01    -6.7314E-01     3.9348E-01     0.0000E+00     2.2186-314     2.2828E-03
    1.51269     1.2381E+00     7.2584E-01    -6.0267E-01     5.2371E-01     0.0000E+00     2.2186-314    -5.8288E-03
    1.62073     1.1876E+00     7.7271E-01    -4.6811E-01     6.2487E-01     0.0000E+00     2.2186-314    -1.4645E-03
    1.72878     1.2134E+00     7.4819E-01     2.3875E-01     5.7328E-01     0.0000E+00     2.2186-314    -5.6561E-03
    1.83683     1.2579E+00     7.0882E-01     4.1216E-01     4.8421E-01     0.0000E+00     2.2186-314     3.9503E-03
    1.94488     1.2997E+00     6.7492E-01     3.8662E-01     4.0066E-01     0.0000E+00     2.2186-314    -9.6372E-03
    2.05293     1.3355E+00     6.4797E-01     3.3126E-01     3.2908E-01     0.0000E+00     2.2186-314    -5.5574E-03
    2.16098     1.3689E+00     6.2438E-01     3.0940E-01     2.6222E-01     0.0000E+00     2.2186-314    -1.6104E-02
    2.26903     1.3972E+00     6.0547E-01     2.6243E-01     2.0551E-01     0.0000E+00     2.2186-314     7.6174E-03
    2.37708     1.4267E+00     5.8682E-01     2.7257E-01     1.4660E-01     0.0000E+00     2.2186-314    -1.0921E-02
