BEHD @ YYE. Sim. done on 2023-10-23   21h31
### Sim. w/ κ =    0.900 ; and ∆_0 =  2.00; T =    2.98E+03
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
  Time        mass            Force z            Noise z            Noise x            Noise Θ
    0.10805        3.298672E-09       -1.000000E+00       -7.452468E-04       -0.000000E+00       -0.000000E+00
    0.21610        3.298672E-09       -9.723679E-01        2.889389E-03        0.000000E+00        0.000000E+00
    0.32415        3.298672E-09       -9.198349E-01        8.139211E-04        0.000000E+00        0.000000E+00
    0.43220        3.298672E-09       -8.440265E-01        1.697737E-03        0.000000E+00       -0.000000E+00
    0.54024        3.298672E-09       -7.477194E-01        1.186700E-03        0.000000E+00        0.000000E+00
    0.64829        3.298672E-09       -6.336378E-01        3.240564E-04       -0.000000E+00        0.000000E+00
    0.75634        3.298672E-09       -5.046610E-01        3.244199E-03       -0.000000E+00       -0.000000E+00
    0.86439        3.298672E-09       -3.649069E-01       -6.818253E-03       -0.000000E+00        0.000000E+00
    0.97244        3.298672E-09       -2.148133E-01        1.283337E-03       -0.000000E+00        0.000000E+00
    1.08049        3.298672E-09       -6.020161E-02        1.023195E-03        0.000000E+00        0.000000E+00
    1.18854        3.298672E-09        9.552340E-02        2.787788E-03        0.000000E+00        0.000000E+00
    1.29659        3.298672E-09        2.480130E-01        9.964723E-04       -0.000000E+00       -0.000000E+00
    1.40464        3.298672E-09        3.934770E-01        2.282752E-03       -0.000000E+00       -0.000000E+00
    1.51269        3.298672E-09        5.237131E-01       -5.828819E-03        0.000000E+00        0.000000E+00
    1.62073        3.298672E-09        6.248705E-01       -1.464473E-03       -0.000000E+00       -0.000000E+00
    1.72878        3.298672E-09        5.732773E-01       -5.656121E-03        0.000000E+00       -0.000000E+00
    1.83683        3.298672E-09        4.842099E-01        3.950330E-03        0.000000E+00       -0.000000E+00
    1.94488        3.298672E-09        4.006614E-01       -9.637176E-03        0.000000E+00        0.000000E+00
    2.05293        3.298672E-09        3.290767E-01       -5.557420E-03       -0.000000E+00       -0.000000E+00
    2.16098        3.298672E-09        2.622164E-01       -1.610376E-02        0.000000E+00        0.000000E+00
    2.26903        3.298672E-09        2.055060E-01        7.617376E-03        0.000000E+00       -0.000000E+00
    2.37708        3.298672E-09        1.466040E-01       -1.092062E-02        0.000000E+00        0.000000E+00
    2.48513        3.298672E-09        9.613572E-02       -4.908315E-03        0.000000E+00        0.000000E+00
    2.59318        3.298672E-09        5.130677E-02       -5.628368E-04        0.000000E+00       -0.000000E+00
    2.70122        3.298672E-09        1.082000E-02        4.451329E-03       -0.000000E+00        0.000000E+00
    2.80927        3.298672E-09       -2.656995E-02        5.823723E-04        0.000000E+00       -0.000000E+00
    2.91732        3.298672E-09       -5.869875E-02        3.210738E-03       -0.000000E+00       -0.000000E+00
    3.02537        3.298672E-09       -8.618022E-02        2.375771E-03       -0.000000E+00        0.000000E+00
    3.13342        3.298672E-09       -1.084213E-01       -2.421663E-03        0.000000E+00       -0.000000E+00
    3.24147        3.298672E-09       -1.236918E-01        4.046962E-03        0.000000E+00       -0.000000E+00
    3.34952        3.298672E-09       -1.344169E-01       -9.620294E-03       -0.000000E+00       -0.000000E+00
    3.45757        3.298672E-09       -1.361461E-01       -2.266192E-04       -0.000000E+00        0.000000E+00
    3.56562        3.298672E-09       -1.327632E-01        1.150187E-03       -0.000000E+00        0.000000E+00
    3.67367        3.298672E-09       -1.252672E-01        1.356434E-03       -0.000000E+00        0.000000E+00
    3.78171        3.298672E-09       -1.143104E-01        7.761283E-04       -0.000000E+00        0.000000E+00
    3.88976        3.298672E-09       -1.003430E-01        1.489147E-03        0.000000E+00        0.000000E+00
    3.99781        3.298672E-09       -8.432433E-02        8.227369E-03       -0.000000E+00        0.000000E+00
    4.10586        3.298672E-09       -6.929822E-02        1.334678E-04       -0.000000E+00        0.000000E+00
    4.21391        3.298672E-09       -5.296484E-02       -1.269734E-02        0.000000E+00       -0.000000E+00
    4.32196        3.298672E-09       -3.153325E-02        2.642013E-03        0.000000E+00        0.000000E+00
    4.43001        3.298672E-09       -1.159680E-02       -3.358165E-04       -0.000000E+00        0.000000E+00
    4.53806        3.298672E-09        7.215042E-03       -1.722011E-03       -0.000000E+00        0.000000E+00
    4.64611        3.298672E-09        2.472074E-02       -5.916895E-03        0.000000E+00        0.000000E+00
    4.75416        3.298672E-09        4.185093E-02       -1.258095E-02       -0.000000E+00       -0.000000E+00
    4.86220        3.298672E-09        6.044109E-02        1.281632E-03        0.000000E+00        0.000000E+00
    4.97025        3.298672E-09        7.427912E-02        1.124835E-03       -0.000000E+00        0.000000E+00
    5.07830        3.298672E-09        8.317691E-02       -4.634321E-03        0.000000E+00       -0.000000E+00
    5.18635        3.298672E-09        8.943644E-02        9.945287E-03       -0.000000E+00       -0.000000E+00
    5.29440        3.298672E-09        8.726747E-02       -3.695536E-03        0.000000E+00        0.000000E+00
    5.40245        3.298672E-09        8.308658E-02       -1.449889E-03       -0.000000E+00       -0.000000E+00
    5.51050        3.298672E-09        7.643072E-02        2.980946E-03       -0.000000E+00       -0.000000E+00
    5.61855        3.298672E-09        6.615839E-02       -4.977522E-03       -0.000000E+00        0.000000E+00
    5.72660        3.298672E-09        5.624840E-02        2.936683E-03       -0.000000E+00       -0.000000E+00
    5.83465        3.298672E-09        4.402320E-02       -6.137544E-03        0.000000E+00        0.000000E+00
    5.94269        3.298672E-09        3.372169E-02       -2.735425E-03        0.000000E+00        0.000000E+00
    6.05074        3.298672E-09        2.422797E-02        6.097590E-03       -0.000000E+00        0.000000E+00
    6.15879        3.298672E-09        1.252660E-02        1.616321E-03        0.000000E+00        0.000000E+00
    6.26684        3.298672E-09        1.006205E-03        6.347227E-03       -0.000000E+00        0.000000E+00
    6.37489        3.298672E-09       -1.163812E-02        8.582868E-04       -0.000000E+00       -0.000000E+00
    6.48294        3.298672E-09       -2.279655E-02        5.549135E-03       -0.000000E+00        0.000000E+00
    6.59099        3.298672E-09       -3.390559E-02        1.882729E-03       -0.000000E+00        0.000000E+00
    6.69904        3.298672E-09       -4.324701E-02        2.055843E-03       -0.000000E+00        0.000000E+00
    6.80709        3.298672E-09       -5.073090E-02        1.591210E-03        0.000000E+00        0.000000E+00
    6.91514        3.298672E-09       -5.611489E-02       -8.897532E-04       -0.000000E+00        0.000000E+00
    7.02318        3.298672E-09       -5.854709E-02        6.360468E-03        0.000000E+00       -0.000000E+00
    7.13123        3.298672E-09       -6.076047E-02        8.205730E-04        0.000000E+00        0.000000E+00
    7.23928        3.298672E-09       -6.076022E-02        7.638845E-03       -0.000000E+00       -0.000000E+00
    7.34733        3.298672E-09       -6.113178E-02        5.286460E-03        0.000000E+00       -0.000000E+00
    7.45538        3.298672E-09       -6.100625E-02       -6.727873E-03       -0.000000E+00        0.000000E+00
    7.56343        3.298672E-09       -5.624344E-02        6.538082E-03       -0.000000E+00       -0.000000E+00
    7.67148        3.298672E-09       -5.206746E-02        3.221070E-04        0.000000E+00       -0.000000E+00
    7.77953        3.298672E-09       -4.640562E-02       -7.110932E-03        0.000000E+00        0.000000E+00
    7.88758        3.298672E-09       -3.697938E-02       -5.559820E-03       -0.000000E+00       -0.000000E+00
    7.99562        3.298672E-09       -2.500014E-02       -9.299498E-03       -0.000000E+00       -0.000000E+00
    8.10367        3.298672E-09       -9.785989E-03        4.739514E-03        0.000000E+00        0.000000E+00
    8.21172        3.298672E-09        2.749866E-03        6.603514E-03        0.000000E+00        0.000000E+00
    8.31977        3.298672E-09        1.161494E-02       -7.088109E-03        0.000000E+00        0.000000E+00
    8.42782        3.298672E-09        2.179129E-02       -2.803773E-03        0.000000E+00        0.000000E+00
    8.53587        3.298672E-09        3.116734E-02       -5.183885E-03        0.000000E+00       -0.000000E+00
    8.64392        3.298672E-09        4.031724E-02        1.893330E-03        0.000000E+00        0.000000E+00
    8.75197        3.298672E-09        4.620886E-02        5.043715E-03       -0.000000E+00        0.000000E+00
    8.86002        3.298672E-09        4.769395E-02       -1.796870E-03       -0.000000E+00       -0.000000E+00
    8.96807        3.298672E-09        4.775061E-02       -4.312550E-03        0.000000E+00        0.000000E+00
    9.07611        3.298672E-09        4.748312E-02        5.100389E-03        0.000000E+00        0.000000E+00
    9.18416        3.298672E-09        4.335771E-02       -4.888566E-03        0.000000E+00        0.000000E+00
    9.29221        3.298672E-09        3.976031E-02       -8.182386E-03        0.000000E+00        0.000000E+00
    9.40026        3.298672E-09        3.802075E-02        5.688003E-03       -0.000000E+00       -0.000000E+00
    9.50831        3.298672E-09        3.277540E-02       -6.249816E-03        0.000000E+00        0.000000E+00
    9.61636        3.298672E-09        2.911426E-02       -2.527887E-03       -0.000000E+00        0.000000E+00
    9.72441        3.298672E-09        2.561321E-02       -4.784093E-04        0.000000E+00        0.000000E+00
    9.83246        3.298672E-09        2.163038E-02       -6.406967E-03        0.000000E+00       -0.000000E+00
    9.94051        3.298672E-09        1.958232E-02        7.810789E-04        0.000000E+00        0.000000E+00
   10.04856        3.298672E-09        1.667449E-02        1.033182E-02       -0.000000E+00       -0.000000E+00
   10.15660        3.298672E-09        9.579360E-03       -3.456490E-03       -0.000000E+00        0.000000E+00
   10.26465        3.298672E-09        4.126183E-03        2.503182E-03        0.000000E+00       -0.000000E+00
   10.37270        3.298672E-09       -1.839827E-03        4.887441E-03       -0.000000E+00        0.000000E+00
   10.48075        3.298672E-09       -8.897787E-03       -3.708753E-03        0.000000E+00       -0.000000E+00
   10.58880        3.298672E-09       -1.353415E-02        4.191751E-03       -0.000000E+00       -0.000000E+00
   10.69685        3.298672E-09       -1.868712E-02       -1.951453E-03        0.000000E+00        0.000000E+00
   10.80490        3.298672E-09       -2.189171E-02        4.406623E-03       -0.000000E+00        0.000000E+00
   10.91295        3.298672E-09       -2.550988E-02       -2.990740E-03       -0.000000E+00       -0.000000E+00
   11.02100        3.298672E-09       -2.671161E-02        6.892128E-03        0.000000E+00        0.000000E+00
   11.12905        3.298672E-09       -2.922663E-02        1.394619E-03       -0.000000E+00        0.000000E+00
   11.23709        3.298672E-09       -3.086448E-02        1.948357E-03       -0.000000E+00       -0.000000E+00
   11.34514        3.298672E-09       -3.184679E-02        1.047613E-02       -0.000000E+00       -0.000000E+00
   11.45319        3.298672E-09       -3.523806E-02        5.838811E-03        0.000000E+00       -0.000000E+00
   11.56124        3.298672E-09       -3.901902E-02       -1.094602E-02        0.000000E+00       -0.000000E+00
   11.66929        3.298672E-09       -3.705789E-02        6.770019E-05        0.000000E+00        0.000000E+00
   11.77734        3.298672E-09       -3.388045E-02       -1.149887E-02       -0.000000E+00        0.000000E+00
   11.88539        3.298672E-09       -2.560377E-02       -1.343933E-02        0.000000E+00        0.000000E+00
   11.99344        3.298672E-09       -1.227764E-02       -2.553685E-03       -0.000000E+00       -0.000000E+00
   12.10149        3.298672E-09        1.262574E-03        5.424114E-03        0.000000E+00        0.000000E+00
