BEHD @ YYE. Sim. done on 2023-10-23   21h19
### Sim. w/ κ =    0.000 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.32690E+03    3.32462E-04
        0.21610    8.98070E+03    1.28332E-03
        0.32415    1.95517E+04    2.79430E-03
        0.43220    3.35619E+04    4.79730E-03
        0.54024    5.04798E+04    7.21656E-03
        0.64829    6.97358E+04    9.97081E-03
        0.75634    9.07375E+04    1.29755E-02
        0.86439    1.12885E+05    1.61449E-02
        0.97244    1.35587E+05    1.93945E-02
        1.08049    1.58272E+05    2.26426E-02
        1.18854    1.80403E+05    2.58124E-02
        1.29659    2.01488E+05    2.88335E-02
        1.40464    2.21091E+05    3.16432E-02
        1.51269    2.38835E+05    3.41877E-02
        1.62073    2.54414E+05    3.64229E-02
        1.72878    2.67590E+05    3.83148E-02
        1.83683    2.78199E+05    3.98395E-02
        1.94488    2.86146E+05    4.09834E-02
        2.05293    2.91407E+05    4.17428E-02
        2.16098    2.94019E+05    4.21231E-02
        2.26903    2.94083E+05    4.21383E-02
        2.37708    2.91750E+05    4.18100E-02
        2.48513    2.87219E+05    4.11665E-02
        2.59318    2.80725E+05    4.02415E-02
        2.70122    2.72537E+05    3.90734E-02
       43.21959    1.80561E+05    2.73577E-02
       86.43919    1.70352E+05    2.74761E-02
      129.65878    1.58631E+05    2.73502E-02
      172.87838    1.48269E+05    2.74571E-02
      216.09797    1.37639E+05    2.75278E-02
      259.31757    1.26556E+05    2.75122E-02
      302.53716    1.15710E+05    2.75499E-02
      345.75675    1.04974E+05    2.76248E-02
      388.97635    9.38955E+04    2.76163E-02
      432.19594    8.31961E+04    2.77320E-02
      475.41554    7.26389E+04    2.79380E-02
      518.63513    6.18615E+04    2.81189E-02
      561.85473    5.11446E+04    2.84137E-02
