BEHD @ YYE. Sim. done on 2023-10-27   17h13
### Sim. w/ κ =    0.200 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.95253E+03    3.69112E-04
        0.21610    1.13473E+04    1.41877E-03
        0.32415    2.46109E+04    3.07752E-03
        0.43220    4.20808E+04    5.26274E-03
        0.54024    6.30281E+04    7.88344E-03
        0.64829    8.66803E+04    1.08432E-02
        0.75634    1.12244E+05    1.40428E-02
        0.86439    1.38929E+05    1.73835E-02
        0.97244    1.65964E+05    2.07689E-02
        1.08049    1.92621E+05    2.41077E-02
        1.18854    2.18228E+05    2.73160E-02
        1.29659    2.42185E+05    3.03186E-02
        1.40464    2.63976E+05    3.30508E-02
        1.51269    2.83175E+05    3.54590E-02
        1.62073    2.99453E+05    3.75019E-02
        1.72878    3.12577E+05    3.91505E-02
        1.83683    3.22417E+05    4.03880E-02
        1.94488    3.28935E+05    4.12096E-02
        2.05293    3.32181E+05    4.16215E-02
        2.16098    3.32291E+05    4.16404E-02
        2.26903    3.29468E+05    4.12919E-02
        2.37708    3.23979E+05    4.06090E-02
        2.48513    3.16142E+05    3.96317E-02
        2.59318    3.06312E+05    3.84042E-02
        2.70122    2.94872E+05    3.69745E-02
        3.24147    2.27451E+05    2.85384E-02
        4.32196    1.60469E+05    2.01594E-02
        5.40245    2.16002E+05    2.71701E-02
        6.48294    2.47314E+05    3.11479E-02
        7.56343    2.17465E+05    2.74230E-02
        8.64392    2.01842E+05    2.54851E-02
        9.72441    2.17057E+05    2.74409E-02
       10.80490    2.24342E+05    2.83977E-02
       11.88539    2.15625E+05    2.73289E-02
       12.96588    2.11744E+05    2.68710E-02
       14.04637    2.16114E+05    2.74605E-02
       15.12686    2.17689E+05    2.76958E-02
       16.20735    2.14731E+05    2.73542E-02
       17.28784    2.13362E+05    2.72145E-02
       18.36833    2.14826E+05    2.74362E-02
       19.44882    2.15526E+05    2.75608E-02
       20.52931    2.14163E+05    2.74216E-02
       21.60980    2.13000E+05    2.73077E-02
       22.69029    2.13319E+05    2.73837E-02
       23.77078    2.13565E+05    2.74505E-02
       24.85127    2.13013E+05    2.74148E-02
       25.93176    2.12577E+05    2.73939E-02
       27.01225    2.12520E+05    2.74219E-02
       28.09274    2.12481E+05    2.74523E-02
       29.17323    2.11953E+05    2.74196E-02
       30.25372    2.11264E+05    2.73658E-02
       31.33421    2.11012E+05    2.73686E-02
       32.41470    2.11476E+05    2.74644E-02
       33.49519    2.11149E+05    2.74577E-02
       34.57568    2.10001E+05    2.73439E-02
