BEHD @ YYE. Sim. done on 2023-10-27   17h28
### Sim. w/ κ =    0.700 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    4.12720E+03    5.15964E-04
        0.21610    1.54933E+04    1.93714E-03
        0.32415    3.29532E+04    4.12070E-03
        0.43220    5.52765E+04    6.91302E-03
        0.54024    8.11949E+04    1.01557E-02
        0.64829    1.09447E+05    1.36912E-02
        0.75634    1.38818E+05    1.73675E-02
        0.86439    1.68174E+05    2.10428E-02
        0.97244    1.96488E+05    2.45886E-02
        1.08049    2.22864E+05    2.78928E-02
        1.18854    2.46553E+05    3.08616E-02
        1.29659    2.66968E+05    3.34211E-02
        1.40464    2.83684E+05    3.55183E-02
        1.51269    2.96448E+05    3.71210E-02
        1.62073    3.05168E+05    3.82177E-02
        1.72878    3.09912E+05    3.88167E-02
        1.83683    3.10882E+05    3.89430E-02
        1.94488    3.08387E+05    3.86353E-02
        2.05293    3.02825E+05    3.79432E-02
        2.16098    2.94661E+05    3.69250E-02
        2.26903    2.84414E+05    3.56453E-02
        2.37708    2.72624E+05    3.41720E-02
        2.48513    2.59844E+05    3.25741E-02
        2.59318    2.46612E+05    3.09193E-02
        2.70122    2.33440E+05    2.92715E-02
        3.24147    1.82449E+05    2.28920E-02
        3.78171    1.72927E+05    2.17109E-02
        4.32196    1.95428E+05    2.45513E-02
        4.86220    2.22122E+05    2.79223E-02
        5.40245    2.33052E+05    2.93148E-02
        5.94269    2.26661E+05    2.85288E-02
        6.48294    2.13821E+05    2.69296E-02
        7.02318    2.05668E+05    2.59190E-02
        7.56343    2.05878E+05    2.59620E-02
        8.10367    2.11003E+05    2.66249E-02
        8.64392    2.15588E+05    2.72207E-02
        9.18416    2.16620E+05    2.73683E-02
        9.72441    2.14683E+05    2.71408E-02
       10.26465    2.12237E+05    2.68485E-02
       10.80490    2.11078E+05    2.67187E-02
       11.34514    2.11528E+05    2.67926E-02
       11.88539    2.12551E+05    2.69392E-02
       12.42563    2.12928E+05    2.70041E-02
       12.96588    2.12341E+05    2.69468E-02
       13.50612    2.11476E+05    2.68540E-02
       14.04637    2.11134E+05    2.68277E-02
       14.58661    2.11319E+05    2.68682E-02
       15.12686    2.11643E+05    2.69266E-02
       15.66710    2.11770E+05    2.69599E-02
       16.20735    2.11606E+05    2.69562E-02
       16.74759    2.11295E+05    2.69337E-02
       17.28784    2.10937E+05    2.69052E-02
       17.82808    2.10527E+05    2.68701E-02
       18.36833    2.10208E+05    2.68465E-02
       18.90857    2.10120E+05    2.68524E-02
       19.44882    2.10283E+05    2.68904E-02
       19.98906    2.10522E+05    2.69381E-02
       20.52931    2.10701E+05    2.69784E-02
       21.06955    2.10581E+05    2.69803E-02
       21.60980    2.10146E+05    2.69418E-02
       22.15004    2.09667E+05    2.68976E-02
       22.69029    2.09430E+05    2.68844E-02
       23.23053    2.09536E+05    2.69154E-02
       23.77078    2.09652E+05    2.69476E-02
       24.31102    2.09513E+05    2.69470E-02
       24.85127    2.09173E+05    2.69206E-02
       25.39151    2.08760E+05    2.68848E-02
       25.93176    2.08466E+05    2.68641E-02
       26.47200    2.08380E+05    2.68704E-02
       27.01225    2.08478E+05    2.69004E-02
       27.55249    2.08646E+05    2.69394E-02
       28.09274    2.08695E+05    2.69632E-02
       28.63298    2.08424E+05    2.69456E-02
