BEHD @ YYE. Sim. done on 2023-10-27   17h 7
### Sim. w/ κ =    0.200 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle =    1000
Time         sumz         <∆z^2>
        0.10805    2.59285E+03    3.70460E-04
        0.21610    9.96629E+03    1.42416E-03
        0.32415    2.16171E+04    3.08949E-03
        0.43220    3.69642E+04    5.28362E-03
        0.54024    5.53674E+04    7.91528E-03
        0.64829    7.61478E+04    1.08876E-02
        0.75634    9.86080E+04    1.41010E-02
        0.86439    1.22052E+05    1.74559E-02
        0.97244    1.45801E+05    2.08556E-02
        1.08049    1.69216E+05    2.42082E-02
        1.18854    1.91703E+05    2.74293E-02
        1.29659    2.12736E+05    3.04430E-02
        1.40464    2.31858E+05    3.31842E-02
        1.51269    2.48695E+05    3.55991E-02
        1.62073    2.62959E+05    3.76463E-02
        1.72878    2.74447E+05    3.92965E-02
        1.83683    2.83044E+05    4.05333E-02
        1.94488    2.88721E+05    4.13522E-02
        2.05293    2.91524E+05    4.17597E-02
        2.16098    2.91573E+05    4.17727E-02
        2.26903    2.89050E+05    4.14171E-02
        2.37708    2.84192E+05    4.07269E-02
        2.48513    2.77278E+05    3.97418E-02
        2.59318    2.68622E+05    3.85067E-02
        2.70122    2.58560E+05    3.70696E-02
        5.40245    1.89429E+05    2.72559E-02
       10.80490    1.96201E+05    2.84349E-02
       16.20735    1.87631E+05    2.73914E-02
       21.60980    1.86284E+05    2.73947E-02
       27.01225    1.85625E+05    2.75000E-02
       32.41470    1.83890E+05    2.74462E-02
       37.81715    1.82891E+05    2.75023E-02
       43.21959    1.81403E+05    2.74853E-02
       48.62204    1.80148E+05    2.75035E-02
       54.02449    1.79126E+05    2.75579E-02
       59.42694    1.76810E+05    2.74124E-02
       64.82939    1.75887E+05    2.74824E-02
       70.23184    1.74690E+05    2.75102E-02
       75.63429    1.73465E+05    2.75341E-02
       81.03674    1.72216E+05    2.75545E-02
       86.43919    1.70550E+05    2.75081E-02
       91.84164    1.69636E+05    2.75831E-02
       97.24409    1.67736E+05    2.74976E-02
      102.64654    1.66565E+05    2.75315E-02
      108.04899    1.64736E+05    2.74560E-02
      113.45144    1.63601E+05    2.74960E-02
      118.85388    1.62400E+05    2.75254E-02
      124.25633    1.61172E+05    2.75508E-02
      129.65878    1.59782E+05    2.75486E-02
      135.06123    1.58744E+05    2.76076E-02
      140.46368    1.57583E+05    2.76462E-02
      145.86613    1.55556E+05    2.75320E-02
      151.26858    1.54494E+05    2.75882E-02
      156.67103    1.53085E+05    2.75828E-02
      162.07348    1.51607E+05    2.75650E-02
      167.47593    1.50471E+05    2.76093E-02
      172.87838    1.48808E+05    2.75570E-02
      178.28083    1.47677E+05    2.76031E-02
      183.68328    1.46424E+05    2.76272E-02
      189.08573    1.44985E+05    2.76162E-02
      194.48817    1.43438E+05    2.75843E-02
      199.89062    1.41922E+05    2.75576E-02
      205.29307    1.40325E+05    2.75148E-02
      210.69552    1.39661E+05    2.76556E-02
      216.09797    1.37992E+05    2.75984E-02
      221.50042    1.36433E+05    2.75622E-02
      226.90287    1.35046E+05    2.75604E-02
      232.30532    1.33444E+05    2.75142E-02
      237.70777    1.32388E+05    2.75808E-02
      243.11022    1.31261E+05    2.76338E-02
      248.51267    1.29630E+05    2.75809E-02
