BEHD @ YYE. Sim. done on 2023-10-24   16h15
### Sim. w/ κ =    0.300 ; and ∆_0 =  2.00; T =    2.98E+05
 ## r =  1.00E-06 ; rhosty =  1.05E+03 ; rhosol =  1.00E+03
 ## k =  2.00 ; ∆_eq =  2.00 ; num_particle = 1000000
# Indexx..   Velocity            Particle Number
 
 
#     1
    0.010000,      1.16047E+03,
    0.030000,      1.98097E+03,
    0.050000,      3.58028E+03,
    0.070000,      5.67973E+03,
    0.090000,      7.60394E+03,
    0.110000,      8.59947E+03,
    0.130000,      8.09038E+03,
    0.150000,      6.45212E+03,
    0.170000,      4.33280E+03,
    0.190000,      2.43611E+03,
    0.210000,      1.17045E+03,
    0.230000,      4.62894E+02,
    0.250000,      1.55885E+02,
    0.270000,      4.39250E+01,
    0.290000,      1.06062E+01,
    0.310000,      1.91428E+00,
    0.330000,      3.62162E-01,
    0.350000,      5.17374E-02,
    0.370000,      0.00000E+00,
    0.390000,      0.00000E+00,
    0.410000,      0.00000E+00,
    0.430000,      0.00000E+00,
    0.450000,      0.00000E+00,
    0.470000,      0.00000E+00,
    0.490000,      0.00000E+00,
    0.510000,      0.00000E+00,
    0.530000,      0.00000E+00,
    0.550000,      0.00000E+00,
    0.570000,      0.00000E+00,
    0.590000,      0.00000E+00,
    0.610000,      0.00000E+00,
    0.630000,      0.00000E+00,
    0.650000,      0.00000E+00,
    0.670000,      0.00000E+00,
    0.690000,      0.00000E+00,
    0.710000,      0.00000E+00,
    0.730000,      0.00000E+00,
    0.750000,      0.00000E+00,
    0.770000,      0.00000E+00,
    0.790000,      0.00000E+00,
    0.810000,      0.00000E+00,
    0.830000,      0.00000E+00,
    0.850000,      0.00000E+00,
    0.870000,      0.00000E+00,
    0.890000,      0.00000E+00,
    0.910000,      0.00000E+00,
    0.930000,      0.00000E+00,
    0.950000,      0.00000E+00,
    0.970000,      0.00000E+00,
    0.990000,      0.00000E+00,
    1.010000,      0.00000E+00,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     2
    0.010000,      5.31860E+01,
    0.030000,      9.89218E+01,
    0.050000,      2.18746E+02,
    0.070000,      4.66671E+02,
    0.090000,      8.76690E+02,
    0.110000,      1.52987E+03,
    0.130000,      2.42571E+03,
    0.150000,      3.53516E+03,
    0.170000,      4.71389E+03,
    0.190000,      5.68552E+03,
    0.210000,      6.17263E+03,
    0.230000,      6.22411E+03,
    0.250000,      5.66317E+03,
    0.270000,      4.73268E+03,
    0.290000,      3.57909E+03,
    0.310000,      2.48179E+03,
    0.330000,      1.55874E+03,
    0.350000,      9.01265E+02,
    0.370000,      4.60204E+02,
    0.390000,      2.23764E+02,
    0.410000,      9.93875E+01,
    0.430000,      4.12864E+01,
    0.450000,      1.28826E+01,
    0.470000,      5.17374E+00,
    0.490000,      1.03475E+00,
    0.510000,      6.72586E-01,
    0.530000,      1.03475E-01,
    0.550000,      0.00000E+00,
    0.570000,      0.00000E+00,
    0.590000,      0.00000E+00,
    0.610000,      0.00000E+00,
    0.630000,      0.00000E+00,
    0.650000,      0.00000E+00,
    0.670000,      0.00000E+00,
    0.690000,      0.00000E+00,
    0.710000,      0.00000E+00,
    0.730000,      0.00000E+00,
    0.750000,      0.00000E+00,
    0.770000,      0.00000E+00,
    0.790000,      0.00000E+00,
    0.810000,      0.00000E+00,
    0.830000,      0.00000E+00,
    0.850000,      0.00000E+00,
    0.870000,      0.00000E+00,
    0.890000,      0.00000E+00,
    0.910000,      0.00000E+00,
    0.930000,      0.00000E+00,
    0.950000,      0.00000E+00,
    0.970000,      0.00000E+00,
    0.990000,      0.00000E+00,
    1.010000,      0.00000E+00,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     3
    0.010000,      2.94903E+00,
    0.030000,      5.94980E+00,
    0.050000,      1.25722E+01,
    0.070000,      3.28015E+01,
    0.090000,      6.94315E+01,
    0.110000,      1.53091E+02,
    0.130000,      2.87711E+02,
    0.150000,      5.13752E+02,
    0.170000,      8.77983E+02,
    0.190000,      1.37896E+03,
    0.210000,      2.03136E+03,
    0.230000,      2.82129E+03,
    0.250000,      3.63233E+03,
    0.270000,      4.44817E+03,
    0.290000,      4.99219E+03,
    0.310000,      5.29165E+03,
    0.330000,      5.23287E+03,
    0.350000,      4.88799E+03,
    0.370000,      4.24050E+03,
    0.390000,      3.42579E+03,
    0.410000,      2.62112E+03,
    0.430000,      1.85422E+03,
    0.450000,      1.25411E+03,
    0.470000,      7.63437E+02,
    0.490000,      4.45355E+02,
    0.510000,      2.49943E+02,
    0.530000,      1.27119E+02,
    0.550000,      6.09984E+01,
    0.570000,      2.72139E+01,
    0.590000,      1.09683E+01,
    0.610000,      5.27721E+00,
    0.630000,      2.27644E+00,
    0.650000,      8.79535E-01,
    0.670000,      5.17374E-02,
    0.690000,      5.17374E-02,
    0.710000,      0.00000E+00,
    0.730000,      0.00000E+00,
    0.750000,      0.00000E+00,
    0.770000,      0.00000E+00,
    0.790000,      0.00000E+00,
    0.810000,      0.00000E+00,
    0.830000,      0.00000E+00,
    0.850000,      0.00000E+00,
    0.870000,      0.00000E+00,
    0.890000,      0.00000E+00,
    0.910000,      0.00000E+00,
    0.930000,      0.00000E+00,
    0.950000,      0.00000E+00,
    0.970000,      0.00000E+00,
    0.990000,      0.00000E+00,
    1.010000,      0.00000E+00,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     4
    0.010000,      2.06949E-01,
    0.030000,      5.69111E-01,
    0.050000,      7.76060E-01,
    0.070000,      2.58687E+00,
    0.090000,      5.79459E+00,
    0.110000,      1.42278E+01,
    0.130000,      2.97490E+01,
    0.150000,      6.04810E+01,
    0.170000,      1.19099E+02,
    0.190000,      2.22678E+02,
    0.210000,      3.82391E+02,
    0.230000,      6.31765E+02,
    0.250000,      9.86476E+02,
    0.270000,      1.42935E+03,
    0.290000,      2.02091E+03,
    0.310000,      2.67891E+03,
    0.330000,      3.33960E+03,
    0.350000,      3.95951E+03,
    0.370000,      4.44403E+03,
    0.390000,      4.72424E+03,
    0.410000,      4.78193E+03,
    0.430000,      4.57431E+03,
    0.450000,      4.12533E+03,
    0.470000,      3.55074E+03,
    0.490000,      2.88684E+03,
    0.510000,      2.23940E+03,
    0.530000,      1.64225E+03,
    0.550000,      1.12508E+03,
    0.570000,      7.36378E+02,
    0.590000,      4.62118E+02,
    0.610000,      2.69862E+02,
    0.630000,      1.51539E+02,
    0.650000,      8.19003E+01,
    0.670000,      4.28385E+01,
    0.690000,      2.08502E+01,
    0.710000,      1.07614E+01,
    0.730000,      4.34594E+00,
    0.750000,      1.86255E+00,
    0.770000,      2.58687E-01,
    0.790000,      3.62162E-01,
    0.810000,      5.17374E-02,
    0.830000,      0.00000E+00,
    0.850000,      0.00000E+00,
    0.870000,      0.00000E+00,
    0.890000,      0.00000E+00,
    0.910000,      0.00000E+00,
    0.930000,      0.00000E+00,
    0.950000,      0.00000E+00,
    0.970000,      0.00000E+00,
    0.990000,      0.00000E+00,
    1.010000,      0.00000E+00,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     5
    0.010000,      0.00000E+00,
    0.030000,      0.00000E+00,
    0.050000,      0.00000E+00,
    0.070000,      1.55212E-01,
    0.090000,      6.72586E-01,
    0.110000,      1.34517E+00,
    0.130000,      3.82857E+00,
    0.150000,      7.50192E+00,
    0.170000,      1.62455E+01,
    0.190000,      3.52331E+01,
    0.210000,      6.78277E+01,
    0.230000,      1.24273E+02,
    0.250000,      2.16262E+02,
    0.270000,      3.68215E+02,
    0.290000,      5.85201E+02,
    0.310000,      8.88848E+02,
    0.330000,      1.27310E+03,
    0.350000,      1.77081E+03,
    0.370000,      2.31959E+03,
    0.390000,      2.89771E+03,
    0.410000,      3.47463E+03,
    0.430000,      3.94477E+03,
    0.450000,      4.30889E+03,
    0.470000,      4.45624E+03,
    0.490000,      4.42717E+03,
    0.510000,      4.17521E+03,
    0.530000,      3.76870E+03,
    0.550000,      3.23488E+03,
    0.570000,      2.65904E+03,
    0.590000,      2.06370E+03,
    0.610000,      1.58347E+03,
    0.630000,      1.11510E+03,
    0.650000,      7.62298E+02,
    0.670000,      5.00714E+02,
    0.690000,      3.08044E+02,
    0.710000,      1.78804E+02,
    0.730000,      1.07200E+02,
    0.750000,      5.86184E+01,
    0.770000,      2.88695E+01,
    0.790000,      1.68146E+01,
    0.810000,      6.51891E+00,
    0.830000,      3.15598E+00,
    0.850000,      1.65560E+00,
    0.870000,      4.65636E-01,
    0.890000,      4.65636E-01,
    0.910000,      5.17374E-02,
    0.930000,      5.17374E-02,
    0.950000,      0.00000E+00,
    0.970000,      0.00000E+00,
    0.990000,      0.00000E+00,
    1.010000,      0.00000E+00,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     6
    0.010000,      0.00000E+00,
    0.030000,      0.00000E+00,
    0.050000,      0.00000E+00,
    0.070000,      0.00000E+00,
    0.090000,      5.17374E-02,
    0.110000,      3.10424E-01,
    0.130000,      7.76060E-01,
    0.150000,      1.55212E+00,
    0.170000,      3.31119E+00,
    0.190000,      6.20848E+00,
    0.210000,      1.31413E+01,
    0.230000,      2.72656E+01,
    0.250000,      5.42208E+01,
    0.270000,      9.80940E+01,
    0.290000,      1.73631E+02,
    0.310000,      2.87091E+02,
    0.330000,      4.44062E+02,
    0.350000,      7.05594E+02,
    0.370000,      9.96358E+02,
    0.390000,      1.41569E+03,
    0.410000,      1.88474E+03,
    0.430000,      2.40144E+03,
    0.450000,      2.94215E+03,
    0.470000,      3.43769E+03,
    0.490000,      3.87508E+03,
    0.510000,      4.11359E+03,
    0.530000,      4.26414E+03,
    0.550000,      4.21023E+03,
    0.570000,      3.95465E+03,
    0.590000,      3.59363E+03,
    0.610000,      3.13782E+03,
    0.630000,      2.61377E+03,
    0.650000,      2.07400E+03,
    0.670000,      1.58115E+03,
    0.690000,      1.18044E+03,
    0.710000,      8.20141E+02,
    0.730000,      5.62437E+02,
    0.750000,      3.55280E+02,
    0.770000,      2.28834E+02,
    0.790000,      1.38449E+02,
    0.810000,      7.58470E+01,
    0.830000,      4.33559E+01,
    0.850000,      2.32301E+01,
    0.870000,      1.24687E+01,
    0.890000,      5.79459E+00,
    0.910000,      2.58687E+00,
    0.930000,      1.03475E+00,
    0.950000,      5.69111E-01,
    0.970000,      1.03475E-01,
    0.990000,      3.10424E-01,
    1.010000,      5.17374E-02,
    1.030000,      0.00000E+00,
    1.050000,      0.00000E+00,
    1.070000,      0.00000E+00,
    1.090000,      0.00000E+00,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     7
    0.010000,      0.00000E+00,
    0.030000,      0.00000E+00,
    0.050000,      0.00000E+00,
    0.070000,      0.00000E+00,
    0.090000,      0.00000E+00,
    0.110000,      5.17374E-02,
    0.130000,      0.00000E+00,
    0.150000,      2.06949E-01,
    0.170000,      6.72586E-01,
    0.190000,      2.17297E+00,
    0.210000,      4.24246E+00,
    0.230000,      9.15751E+00,
    0.250000,      1.65042E+01,
    0.270000,      3.35258E+01,
    0.290000,      6.45165E+01,
    0.310000,      1.08442E+02,
    0.330000,      1.93136E+02,
    0.350000,      3.06751E+02,
    0.370000,      4.82399E+02,
    0.390000,      7.27013E+02,
    0.410000,      1.02378E+03,
    0.430000,      1.41983E+03,
    0.450000,      1.87398E+03,
    0.470000,      2.37092E+03,
    0.490000,      2.86004E+03,
    0.510000,      3.32387E+03,
    0.530000,      3.72059E+03,
    0.550000,      4.00877E+03,
    0.570000,      4.10940E+03,
    0.590000,      4.07809E+03,
    0.610000,      3.88848E+03,
    0.630000,      3.55482E+03,
    0.650000,      3.12742E+03,
    0.670000,      2.63219E+03,
    0.690000,      2.14736E+03,
    0.710000,      1.68928E+03,
    0.730000,      1.25768E+03,
    0.750000,      9.34894E+02,
    0.770000,      6.50753E+02,
    0.790000,      4.40440E+02,
    0.810000,      2.80210E+02,
    0.830000,      1.76528E+02,
    0.850000,      1.09942E+02,
    0.870000,      5.96014E+01,
    0.890000,      3.61644E+01,
    0.910000,      2.01258E+01,
    0.930000,      1.05544E+01,
    0.950000,      4.70810E+00,
    0.970000,      1.34517E+00,
    0.990000,      8.27798E-01,
    1.010000,      3.62162E-01,
    1.030000,      2.58687E-01,
    1.050000,      2.06949E-01,
    1.070000,      1.03475E-01,
    1.090000,      5.17374E-02,
    1.110000,      0.00000E+00,
    1.130000,      0.00000E+00,
    1.150000,      0.00000E+00,
    1.170000,      0.00000E+00,
    1.190000,      0.00000E+00,
 
 
#     8
    0.010000,      0.00000E+00,
    0.030000,      0.00000E+00,
